Actual,Forecasted,,MeterNumber 73034156
130,139.8542849,,
120,146.8901615,,
120,151.90768,,
120,155.9122878,,
70,159.3212912,,
120,161.976384,,
120,164.614761,,
130,168.2424694,,
120,172.9811897,,
130,179.2927299,,
130,185.9312754,,
130,191.4524585,,
130,195.6689546,,
130,198.8841327,,
130,201.4341281,,
130,203.5533798,,
0,205.4135777,,
120,207.0882204,,
120,208.6097386,,
130,210.0278842,,
410,211.3906365,,
420,212.7513651,,
450,214.1500652,,
440,215.5842844,,
400,217.012757,,
380,218.3815959,,
380,219.6473636,,
250,220.7859577,,
260,221.7930793,,
220,222.6784576,,
200,223.4583564,,
200,224.1506851,,
130,224.7724387,,
120,225.3387291,,
110,225.8625873,,
120,226.3546497,,
120,226.822479,,
120,227.2700891,,
130,227.6982171,,
130,228.1052805,,
120,228.4886642,,
120,228.8459154,,
130,229.1755378,,
120,229.4773042,,
130,229.7521895,,
100,230.0020884,,
40,230.2294643,,
120,230.4370221,,
130,230.6274414,,
120,230.8031708,,
140,230.9662841,,
180,231.118403,,
320,231.2606893,,
340,231.3939005,,
440,231.5184912,,
430,231.634733,,
420,231.7428271,,
370,231.8429917,,
350,231.9355146,,
230,232.0207727,,
200,232.099226,,
210,232.1713946,,
180,232.2378274,,
30,232.2990708,,
130,232.3556409,,
120,232.4080026,,
120,232.4565588,,
120,232.501647,,
110,232.5435447,,
120,232.5824788,,
120,232.6186392,,
120,232.6521908,,
120,232.683285,,
120,232.7120675,,
120,232.7386832,,
130,232.7632777,,
130,232.785997,,
130,232.8069849,,
0,232.8263805,,
0,232.8443154,,
120,232.8609114,,
120,232.876279,,
120,232.8905173,,
120,232.9037142,,
120,232.9159478,,
120,232.9272874,,
150,232.9377958,,
270,232.9475303,,
390,232.956544,,
450,232.9648871,,
370,232.9726071,,
350,232.979749,,
220,232.9863559,,
230,232.9924681,,
200,232.9981236,,
190,233.0033578,,
0,233.0082033,,
